love,sex,6.77,210,234
tiger,cat,7.35,244,76
tiger,tiger,10,353,76
book,paper,7.46,255,313
computer,keyboard,7.62,272,76
computer,internet,7.58,268,52
plane,car,5.77,140,61
train,car,6.31,176,324
telephone,communication,7.5,260,76
television,radio,6.77,210,312
media,radio,7.42,251,283
drug,abuse,6.85,216,257
bread,butter,6.19,164,76
cucumber,potato,5.92,149,76
doctor,nurse,7,226,290
professor,doctor,6.62,198,293
student,professor,6.81,213,310
smart,student,4.62,98,76
smart,stupid,5.81,141,76
company,stock,7.08,232,333
stock,market,8.08,302,235
stock,phone,1.62,14,76
stock,CD,1.31,12,76
stock,jaguar,0.92,7,76
stock,egg,1.81,18,5
fertility,egg,6.69,202,76
stock,live,3.73,71,327
stock,life,0.92,7,237
book,library,7.46,255,351
bank,money,8.12,306,331
wood,forest,7.73,281,273
money,cash,9.15,348,343
professor,cucumber,0.31,2,76
king,cabbage,0.23,1,76
king,queen,8.58,330,347
king,rook,5.92,149,76
bishop,rabbi,6.69,202,76
Jerusalem,Israel,8.46,325,76
Jerusalem,Palestinian,7.65,275,76
holy,sex,1.62,14,238
fuck,sex,9.44,352,76
Maradona,football,8.62,332,76
football,soccer,9.03,344,276
football,basketball,6.81,213,53
football,tennis,6.63,199,2
tennis,racket,7.56,265,76
Arafat,peace,6.73,207,76
Arafat,terror,7.65,275,76
Arafat,Jackson,2.5,33,76
law,lawyer,8.38,321,353
movie,star,7.38,246,321
movie,popcorn,6.19,164,76
movie,critic,6.73,207,76
movie,theater,7.92,291,304
physics,proton,8.12,306,76
physics,chemistry,7.35,244,334
space,chemistry,4.88,106,16
alcohol,chemistry,5.54,129,63
vodka,gin,8.46,325,76
vodka,brandy,8.13,308,76
drink,car,3.04,50,64
drink,ear,1.31,12,302
drink,mouth,5.96,154,76
drink,eat,6.87,220,18
baby,mother,7.85,287,278
drink,mother,2.65,38,31
car,automobile,8.94,340,76
gem,jewel,8.96,341,19
journey,voyage,9.29,350,76
boy,lad,8.83,337,76
coast,shore,9.1,347,352
asylum,madhouse,8.87,338,76
magician,wizard,9.02,343,76
midday,noon,9.29,350,76
furnace,stove,8.79,335,76
food,fruit,7.52,262,76
bird,cock,7.1,234,76
bird,crane,7.38,246,76
tool,implement,6.46,188,350
brother,monk,6.27,175,76
crane,implement,2.69,39,76
lad,brother,4.46,91,76
journey,car,5.85,142,66
monk,oracle,5,110,76
cemetery,woodland,2.08,24,76
food,rooster,4.42,90,76
coast,hill,4.38,88,253
forest,graveyard,1.85,21,76
shore,woodland,3.08,51,76
monk,slave,0.92,7,76
coast,forest,3.15,52,336
lad,wizard,0.92,7,76
chord,smile,0.54,3,76
glass,magician,2.08,24,76
noon,string,0.54,3,76
rooster,voyage,0.62,5,76
money,dollar,8.42,322,245
money,cash,9.08,346,343
money,currency,9.04,345,69
money,wealth,8.27,313,335
money,property,7.57,267,305
money,possession,7.29,242,252
money,bank,8.5,327,331
money,deposit,7.73,281,76
money,withdrawal,6.88,221,76
money,laundering,5.65,137,76
money,operation,3.31,56,306
tiger,jaguar,8,295,76
tiger,feline,8,295,76
tiger,carnivore,7.08,232,76
tiger,mammal,6.85,216,76
tiger,animal,7,226,76
tiger,organism,4.77,104,76
tiger,fauna,5.62,132,76
tiger,zoo,5.87,144,76
psychology,psychiatry,8.08,302,76
psychology,anxiety,7,226,76
psychology,fear,6.85,216,76
psychology,depression,7.42,251,76
psychology,clinic,6.58,196,76
psychology,doctor,6.42,185,76
psychology,Freud,8.21,312,76
psychology,mind,7.69,277,76
psychology,health,7.23,239,76
psychology,science,6.71,205,76
psychology,discipline,5.58,131,76
psychology,cognition,7.48,259,76
planet,star,8.45,324,288
planet,constellation,8.06,300,76
planet,moon,8.08,302,291
planet,sun,8.02,298,51
planet,galaxy,8.11,305,74
planet,space,7.92,291,300
planet,astronomer,7.94,293,76
precedent,example,5.85,142,274
precedent,information,3.85,74,62
precedent,cognition,2.81,42,76
precedent,law,6.65,201,272
precedent,collection,2.5,33,10
precedent,group,1.77,17,296
precedent,antecedent,6.04,161,76
cup,coffee,6.58,196,1
cup,tableware,6.85,216,76
cup,article,2.4,32,6
cup,artifact,2.92,44,76
cup,object,3.69,66,271
cup,entity,2.15,26,28
cup,drink,7.25,240,280
cup,food,5,110,33
cup,substance,1.92,22,337
cup,liquid,5.9,146,76
jaguar,cat,7.42,251,76
jaguar,car,7.27,241,76
energy,secretary,1.81,18,270
secretary,senate,5.06,115,71
energy,laboratory,5.09,116,48
computer,laboratory,6.78,212,55
weapon,secret,6.06,162,76
FBI,fingerprint,6.94,224,76
FBI,investigation,8.31,315,76
investigation,effort,4.59,97,228
Mars,water,2.94,45,76
Mars,scientist,5.63,133,76
news,report,8.16,311,248
canyon,landscape,7.53,263,76
image,surface,4.56,96,30
discovery,space,6.34,179,294
water,seepage,6.56,194,76
sign,recess,2.38,30,76
Wednesday,news,2.22,27,76
mile,kilometer,8.66,333,76
computer,news,4.47,92,325
territory,surface,5.34,125,342
atmosphere,landscape,3.69,66,76
president,medal,3,48,9
war,troops,8.13,308,287
record,number,6.31,176,329
skin,eye,6.22,169,239
Japanese,American,6.5,192,76
theater,history,3.91,79,349
volunteer,motto,2.56,35,286
prejudice,recognition,3,48,40
decoration,valor,5.63,133,76
century,year,7.59,269,320
century,nation,3.16,53,231
delay,racism,1.19,11,76
delay,news,3.31,56,323
minister,party,6.63,199,328
peace,plan,4.75,101,68
minority,peace,3.69,66,322
attempt,peace,4.25,85,49
government,crisis,6.56,194,26
deployment,departure,4.25,85,76
